time,latitude,longitude,clay_content,sand_content,silt_content,sm_aux,sm_tgt
2013-01-03,54.875,9.125,5.0,86.0,9.0,0.45411998,0.53
2013-01-05,54.875,9.125,5.0,86.0,9.0,0.43710196,0.44
2013-01-07,54.875,9.125,5.0,86.0,9.0,0.41297796,0.42
2013-01-08,54.875,9.125,5.0,86.0,9.0,0.3787338,0.55
2013-01-09,54.875,9.125,5.0,86.0,9.0,0.35074025,0.46
2013-01-10,54.875,9.125,5.0,86.0,9.0,0.32332072,0.44
2013-01-12,54.875,9.125,5.0,86.0,9.0,0.2882562,0.32
2013-01-13,54.875,9.125,5.0,86.0,9.0,0.25744995,0.41
2013-01-14,54.875,9.125,5.0,86.0,9.0,0.22667833,0.35
2013-01-16,54.875,9.125,5.0,86.0,9.0,0.20284095,0.37
2013-01-17,54.875,9.125,5.0,86.0,9.0,0.16901363,0.38
2013-01-21,54.875,9.125,5.0,86.0,9.0,0.13913384,0.29
2013-01-22,54.875,9.125,5.0,86.0,9.0,0.15784357,0.33
2013-01-23,54.875,9.125,5.0,86.0,9.0,0.18335046,0.32
2013-01-24,54.875,9.125,5.0,86.0,9.0,0.2036489,0.3
2013-01-26,54.875,9.125,5.0,86.0,9.0,0.28472477,0.25
2013-01-27,54.875,9.125,5.0,86.0,9.0,0.31605762,0.29
2013-01-28,54.875,9.125,5.0,86.0,9.0,0.35371095,0.35
2013-01-29,54.875,9.125,5.0,86.0,9.0,0.38946587,0.54
2013-01-30,54.875,9.125,5.0,86.0,9.0,0.43443385,0.51
2013-01-31,54.875,9.125,5.0,86.0,9.0,0.4557467,0.46
2013-02-06,54.875,9.125,5.0,86.0,9.0,0.3148416,0.45
2013-02-13,54.875,9.125,5.0,86.0,9.0,0.27744588,0.29
2013-02-17,54.875,9.125,5.0,86.0,9.0,0.27163538,0.41
2013-02-18,54.875,9.125,5.0,86.0,9.0,0.2864852,0.41
2013-02-20,54.875,9.125,5.0,86.0,9.0,0.28788733,0.32
2013-02-22,54.875,9.125,5.0,86.0,9.0,0.28706175,0.29
2013-02-23,54.875,9.125,5.0,86.0,9.0,0.2843613,0.36
2013-02-24,54.875,9.125,5.0,86.0,9.0,0.2851863,0.34
2013-02-25,54.875,9.125,5.0,86.0,9.0,0.28220627,0.46
2013-02-27,54.875,9.125,5.0,86.0,9.0,0.29244214,0.29
2013-03-01,54.875,9.125,5.0,86.0,9.0,0.33772823,0.42
2013-03-02,54.875,9.125,5.0,86.0,9.0,0.36312297,0.38
2013-03-03,54.875,9.125,5.0,86.0,9.0,0.3550999,0.41
2013-03-04,54.875,9.125,5.0,86.0,9.0,0.34340554,0.37
2013-03-05,54.875,9.125,5.0,86.0,9.0,0.32399914,0.37
2013-03-06,54.875,9.125,5.0,86.0,9.0,0.2920584,0.42
2013-03-07,54.875,9.125,5.0,86.0,9.0,0.2668653,0.39
2013-03-10,54.875,9.125,5.0,86.0,9.0,0.23465253,0.37
2013-03-11,54.875,9.125,5.0,86.0,9.0,0.22042899,0.33
2013-03-13,54.875,9.125,5.0,86.0,9.0,0.20146093,0.36
2013-03-18,54.875,9.125,5.0,86.0,9.0,0.1960756,0.34
2013-03-19,54.875,9.125,5.0,86.0,9.0,0.19978642,0.29
2013-03-22,54.875,9.125,5.0,86.0,9.0,0.18517067,0.22
2013-03-27,54.875,9.125,5.0,86.0,9.0,0.19474909,0.29
2013-03-30,54.875,9.125,5.0,86.0,9.0,0.20239578,0.41
2013-03-31,54.875,9.125,5.0,86.0,9.0,0.220707,0.39
2013-04-02,54.875,9.125,5.0,86.0,9.0,0.21538016,0.27
2013-04-04,54.875,9.125,5.0,86.0,9.0,0.2094608,0.3
2013-04-05,54.875,9.125,5.0,86.0,9.0,0.21495475,0.33
2013-04-06,54.875,9.125,5.0,86.0,9.0,0.23757716,0.33
2013-04-07,54.875,9.125,5.0,86.0,9.0,0.24785976,0.38
2013-04-09,54.875,9.125,5.0,86.0,9.0,0.26395804,0.35
2013-04-11,54.875,9.125,5.0,86.0,9.0,0.26857564,0.36
2013-04-12,54.875,9.125,5.0,86.0,9.0,0.2698322,0.44
2013-04-13,54.875,9.125,5.0,86.0,9.0,0.2683418,0.39
2013-04-14,54.875,9.125,5.0,86.0,9.0,0.25745988,0.39
2013-04-15,54.875,9.125,5.0,86.0,9.0,0.24662025,0.35
2013-04-16,54.875,9.125,5.0,86.0,9.0,0.21934187,0.34
2013-04-17,54.875,9.125,5.0,86.0,9.0,0.19508107,0.35
2013-04-18,54.875,9.125,5.0,86.0,9.0,0.17372786,0.31
2013-04-19,54.875,9.125,5.0,86.0,9.0,0.17530271,0.35
2013-04-20,54.875,9.125,5.0,86.0,9.0,0.18016167,0.31
2013-04-21,54.875,9.125,5.0,86.0,9.0,0.17347063,0.37
2013-04-22,54.875,9.125,5.0,86.0,9.0,0.17733923,0.35
2013-04-23,54.875,9.125,5.0,86.0,9.0,0.17678417,0.4
2013-04-25,54.875,9.125,5.0,86.0,9.0,0.18534638,0.31
2013-04-26,54.875,9.125,5.0,86.0,9.0,0.1868859,0.44
2013-04-27,54.875,9.125,5.0,86.0,9.0,0.18865791,0.34
2013-04-28,54.875,9.125,5.0,86.0,9.0,0.18469998,0.38
2013-04-29,54.875,9.125,5.0,86.0,9.0,0.16113174,0.33
2013-04-30,54.875,9.125,5.0,86.0,9.0,0.1553446,0.34
2013-05-02,54.875,9.125,5.0,86.0,9.0,0.15244298,0.32
2013-05-03,54.875,9.125,5.0,86.0,9.0,0.16039777,0.35
2013-05-05,54.875,9.125,5.0,86.0,9.0,0.18546158,0.35
2013-05-06,54.875,9.125,5.0,86.0,9.0,0.21282846,0.31
2013-05-08,54.875,9.125,5.0,86.0,9.0,0.22469343,0.4
2013-05-09,54.875,9.125,5.0,86.0,9.0,0.25265276,0.37
2013-05-10,54.875,9.125,5.0,86.0,9.0,0.27326924,0.34
2013-05-11,54.875,9.125,5.0,86.0,9.0,0.29451936,0.34
2013-05-12,54.875,9.125,5.0,86.0,9.0,0.3040075,0.34
2013-05-15,54.875,9.125,5.0,86.0,9.0,0.2688337,0.33
2013-05-16,54.875,9.125,5.0,86.0,9.0,0.26216406,0.38
2013-05-17,54.875,9.125,5.0,86.0,9.0,0.24090979,0.34
2013-05-18,54.875,9.125,5.0,86.0,9.0,0.23659982,0.34
2013-05-19,54.875,9.125,5.0,86.0,9.0,0.22017074,0.4
2013-05-20,54.875,9.125,5.0,86.0,9.0,0.2259753,0.36
2013-05-21,54.875,9.125,5.0,86.0,9.0,0.23427221,0.37
2013-05-23,54.875,9.125,5.0,86.0,9.0,0.2351674,0.37
2013-05-24,54.875,9.125,5.0,86.0,9.0,0.2372958,0.38
2013-05-25,54.875,9.125,5.0,86.0,9.0,0.23415445,0.32
2013-05-26,54.875,9.125,5.0,86.0,9.0,0.23200239,0.35
2013-05-27,54.875,9.125,5.0,86.0,9.0,0.21872002,0.41
2013-05-28,54.875,9.125,5.0,86.0,9.0,0.21257102,0.35
2013-05-29,54.875,9.125,5.0,86.0,9.0,0.18828641,0.32
2013-05-31,54.875,9.125,5.0,86.0,9.0,0.17060377,0.31
2013-06-01,54.875,9.125,5.0,86.0,9.0,0.13229586,0.35
2013-06-02,54.875,9.125,5.0,86.0,9.0,0.11190924,0.31
2013-06-03,54.875,9.125,5.0,86.0,9.0,0.09958483,0.32
2013-06-04,54.875,9.125,5.0,86.0,9.0,0.08159604,0.32
2013-06-05,54.875,9.125,5.0,86.0,9.0,0.09843583,0.31
2013-06-06,54.875,9.125,5.0,86.0,9.0,0.100827806,0.36
2013-06-07,54.875,9.125,5.0,86.0,9.0,0.12071819,0.3
2013-06-08,54.875,9.125,5.0,86.0,9.0,0.1279511,0.36
2013-06-09,54.875,9.125,5.0,86.0,9.0,0.1444428,0.3
2013-06-10,54.875,9.125,5.0,86.0,9.0,0.16372414,0.34
2013-06-11,54.875,9.125,5.0,86.0,9.0,0.17707194,0.32
2013-06-12,54.875,9.125,5.0,86.0,9.0,0.20326701,0.34
2013-06-13,54.875,9.125,5.0,86.0,9.0,0.21073359,0.48
2013-06-14,54.875,9.125,5.0,86.0,9.0,0.22053057,0.41
2013-06-15,54.875,9.125,5.0,86.0,9.0,0.22171453,0.37
2013-06-16,54.875,9.125,5.0,86.0,9.0,0.24417454,0.35
2013-06-18,54.875,9.125,5.0,86.0,9.0,0.2538927,0.34
2013-06-19,54.875,9.125,5.0,86.0,9.0,0.26989213,0.34
2013-06-20,54.875,9.125,5.0,86.0,9.0,0.27698648,0.4
2013-06-21,54.875,9.125,5.0,86.0,9.0,0.27261138,0.37
2013-06-22,54.875,9.125,5.0,86.0,9.0,0.2829032,0.53
2013-06-23,54.875,9.125,5.0,86.0,9.0,0.28098312,0.38
2013-06-24,54.875,9.125,5.0,86.0,9.0,0.27493015,0.45
2013-06-25,54.875,9.125,5.0,86.0,9.0,0.2622479,0.36
2013-06-26,54.875,9.125,5.0,86.0,9.0,0.2370584,0.37
2013-06-28,54.875,9.125,5.0,86.0,9.0,0.21726893,0.47
2013-06-29,54.875,9.125,5.0,86.0,9.0,0.19200374,0.44
2013-06-30,54.875,9.125,5.0,86.0,9.0,0.16525722,0.35
2013-07-01,54.875,9.125,5.0,86.0,9.0,0.1348662,0.41
2013-07-03,54.875,9.125,5.0,86.0,9.0,0.113079816,0.35
2013-07-04,54.875,9.125,5.0,86.0,9.0,0.09634515,0.39
2013-07-05,54.875,9.125,5.0,86.0,9.0,0.07945168,0.38
2013-07-06,54.875,9.125,5.0,86.0,9.0,0.05988022,0.36
